Url,RId,SId,LTId,TTId,LUId,Timestamp,Level,Server,Ip,Thread,Logger,Message,Exception,UserAgent
,d9867528-a608-4aa7-b488-c7dd1c57dfef,,13068,13068,314741,2025-07-11T04:54:33.401Z,INFO,UsageService,10.100.161.209,60,o9.Framework.Logging.Loggers.FrameworkLogger,Received POST on /api/uiusage/usage. RequestType: Regular,,
,d9867528-a608-4aa7-b488-c7dd1c57dfef,13068.442419,13068,13068,9000000,2025-07-11T04:54:33.620Z,INFO,WebApi,10.100.175.7,186,o9.Framework.Common.Logging.FrameworkLogger,WebApi received the request: GET /api/crud/tenants/13068/ls/systemsettings/settingName/UIUsageStatsEnabled,,Internal
,d9867528-a608-4aa7-b488-c7dd1c57dfef,13068.442419,13068,13068,9000000,2025-07-11T04:54:33.642Z,INFO,WebApi,10.100.175.7,76,o9.Framework.Common.Logging.FrameworkLogger,WebApi served the request: /api/crud/tenants/13068/ls/systemsettings/settingName/UIUsageStatsEnabled in : 11ms with status : OK,,Internal
,d9867528-a608-4aa7-b488-c7dd1c57dfef,,13068,13068,314741,2025-07-11T04:54:33.649Z,INFO,UsageService,10.100.161.209,153,o9.Framework.Logging.Loggers.FrameworkLogger,Completed POST on /api/uiusage/usage. in 248 ms,,
,7655663f-969f-45da-b511-d4a2c0a19a23,,13068,13068,314741,2025-07-11T04:54:35.691Z,INFO,UserPreferenceService,10.100.164.163,58,o9.Framework.Logging.Loggers.FrameworkLogger,Received POST on /api/userpref/userdefaultpref. RequestType: Regular,,
,7655663f-969f-45da-b511-d4a2c0a19a23,,13068,13068,314741,2025-07-11T04:54:36.098Z,INFO,UserPreferenceService,10.100.164.163,21,o9.Framework.Logging.Loggers.FrameworkLogger,Completed POST on /api/userpref/userdefaultpref. in 407 ms,,
,1987cab5-030e-453a-aaa0-0150cf9b2360,13068.442414,13068,13068,9000000,2025-07-11T04:54:37.526Z,INFO,WebApi,10.100.164.209,71,o9.Framework.Common.Logging.FrameworkLogger,WebApi received the request: GET /api/crud/tenants/13068/ls/systemsettings/settingName/UIUsageStatsEnabled,,Internal
,1987cab5-030e-453a-aaa0-0150cf9b2360,,13068,13068,314741,2025-07-11T04:54:37.536Z,INFO,UsageService,10.100.169.85,64,o9.Framework.Logging.Loggers.FrameworkLogger,Received POST on /api/uiusage/usage. RequestType: Regular,,
,1987cab5-030e-453a-aaa0-0150cf9b2360,13068.442414,13068,13068,9000000,2025-07-11T04:54:37.540Z,INFO,WebApi,10.100.164.209,89,o9.Framework.Common.Logging.FrameworkLogger,WebApi served the request: /api/crud/tenants/13068/ls/systemsettings/settingName/UIUsageStatsEnabled in : 9ms with status : OK,,Internal
,1987cab5-030e-453a-aaa0-0150cf9b2360,,13068,13068,314741,2025-07-11T04:54:37.561Z,INFO,UsageService,10.100.169.85,64,o9.Framework.Logging.Loggers.FrameworkLogger,Completed POST on /api/uiusage/usage. in 25 ms,,
,285ffb45-a9a9-48c3-9bd4-64f0b6a7d679,,13068,13068,314741,2025-07-11T04:54:38.436Z,INFO,UserPreferenceService,10.100.173.82,152,o9.Framework.Logging.Loggers.FrameworkLogger,Received POST on /api/userpref/userdefaultpref. RequestType: Regular,,
,285ffb45-a9a9-48c3-9bd4-64f0b6a7d679,,13068,13068,314741,2025-07-11T04:54:38.709Z,INFO,UserPreferenceService,10.100.173.82,220,o9.Framework.Logging.Loggers.FrameworkLogger,Completed POST on /api/userpref/userdefaultpref. in 273 ms,,
